index,LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls
100,Club/Bar/Restaurant,11222,,"BROOKLYN, NY",40.73029727,-73.95326078,16
101,Club/Bar/Restaurant,10028,NEW YORK,"MANHATTAN, NY",40.77680945,-73.95253489,11
102,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71102508,-73.95029487,40
103,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86720969,-73.92253385,141
104,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86769186,-73.92121362,16
105,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.7174035,-73.95605473,38
106,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72591124,-73.9836492,32
107,Club/Bar/Restaurant,10307,STATEN ISLAND,"STATEN ISLAND, NY",40.51770136,-74.24054207,36
108,Club/Bar/Restaurant,10001,NEW YORK,"MANHATTAN, NY",40.74928842,-73.98454214,63
109,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.62343625,-74.02509733,57
110,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72707618,-74.000184,40
111,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.68958479,-73.97198946,16
112,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.73915309,-74.00112587,76
113,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.74195612,-73.97792905,13
114,Club/Bar/Restaurant,10038,NEW YORK,"MANHATTAN, NY",40.70607594,-74.0042019,17
115,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71286133,-73.95712905,34
116,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.743596,-73.98600864,40
117,Club/Bar/Restaurant,11208,,"BROOKLYN, NY",40.67462684,-73.87725059,19
118,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86941776,-73.91657993,28
119,Club/Bar/Restaurant,11217,,"BROOKLYN, NY",40.68035203,-73.97476588,114
120,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86385196,-73.92523119,194
121,Club/Bar/Restaurant,11105,ASTORIA,"QUEENS, NY",40.77596729,-73.91512641,82
122,Club/Bar/Restaurant,11106,ASTORIA,"QUEENS, NY",40.76227854,-73.92601303,87
123,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72670835,-74.00275643,14
124,Club/Bar/Restaurant,11223,,"BROOKLYN, NY",40.59916024,-73.96126399,45
125,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.73029441,-73.98223737,66
126,Club/Bar/Restaurant,10022,NEW YORK,"MANHATTAN, NY",40.75686026,-73.96709552,44
127,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.73913663,-74.00108618,49
128,Club/Bar/Restaurant,10002,NY,"MANHATTAN, NY",40.71522127,-73.99171409,184
